Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"John and Charles Wesley, Priests, 1791 and 1788 [6] White",03/03/2005,,,,TRUE,,3
Friday of Lent 3,04/03/2005,,,,TRUE,,3
Saturday of Lent 3,05/02/2005,,,,TRUE,,3
Fourth Sunday of Lent / Mothering Sunday [1] Violet or Lenten Array (or Rose),06/03/2005,,,,TRUE,,3
Monday of Lent 4,07/03/2005,,,,TRUE,,3
Tuesday of Lent 4,08/03/2005,,,,TRUE,,3
Wednesday of Lent 4,09/03/2005,,,,TRUE,,3
Thursday of Lent 4,10/03/2005,,,,TRUE,,3
Friday of Lent 4,11/03/2005,,,,TRUE,,3
Saturday of Lent 4,12/03/2005,,,,TRUE,,3
Fifth Sunday of Lent [1] Violet or Lenten Array (Passion Sunday),13/03/2005,,,,TRUE,,3
Monday of Lent 5,14/03/2005,,,,TRUE,,3
Tuesday of Lent 5,15/03/2005,,,,TRUE,,3
Wednesday of Lent 5,16/03/2005,,,,TRUE,,3
"Patrick, Bishop, Patron of Ireland, 461 [4] White",17/03/2005,,,,TRUE,,3
Friday of Lent 5,18/03/2005,,,,TRUE,,3
Joseph of Nazareth [4] White,19/03/2005,,,,TRUE,,3
The Sunday of the Passion / Palm Sunday [1] Violet or Red,20/03/2005,,,,TRUE,,3
Monday of Holy Week [1] Violet or Lenten Array,21/03/2005,,,,TRUE,,3
Tuesday of Holy Week [1] Violet or Lenten Array,22/03/2005,,,,TRUE,,3
Wednesday of Holy Week [1] Violet or Lenten Array,23/03/2005,,,,TRUE,,3
Maundy Thursday [1] White at the Eucharist,24/03/2005,,,,TRUE,,3
Good Friday [1] Red for the Liturgy,25/03/2005,,,,TRUE,,3
Holy Saturday (Easter Eve) [1] Hangings removed - White at the Easter Vigil,26/03/2005,,,,TRUE,,3
EASTER DAY [1] White,27/03/2005,,,,TRUE,,3
"Monday of Easter Week (Patrick Forbes, Bishop, 1635, and the Aberdeen Doctors, Teachers of the Faith [6] White)",28/03/2005,,,,TRUE,,3
"Tuesday of Easter Week (John Keeble, Priest, 1866 [6] White)",29/03/2005,,,,TRUE,,3
Wednesday of Easter Week,30/03/2005,,,,TRUE,,3
Thursday of Easter Week,31/03/2005,,,,TRUE,,3
