Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"Columba of Iona, Abbot, 597 [4] White",09/06/2012,,,,TRUE,FALSE,"Columba of Iona, Abbot, 597 [4] White

DAILY EUCHARIST
Isaiah 61:1-3
Psalm 34:1-8 or Psalm 9:22
1 Thessalonians 2:2-12 or Ephesians 4:14-19
Matthew 5:13-16 or Matthew 28:16-20 or Luke 12:32-37

MORNING PRAYER: Festivals
Genesis 12:1-9
Hebrews 11:8-16

EVENING PRAYERS: Festivals
Isaiah 52:7-12
Acts 20:25-35",Normal,Normal,3
Pentecost 2 [3] Green; SPB Trinity 1,10/06/2012,,,,TRUE,FALSE,"Pentecost 2 [3] Green; SPB Trinity 1 | Week of Proper 10
Week of Proper 10

Eucharist: Continuous
1 Samuel 8:4-20; (11:14-15)
Psalm 138
2 Corinthians 4:13 - 5:1
Mark 3:20-35

Eucharist: Thematic
Genesis 3:8-15
Psalm 130
2 Corinthians 4:13 - 5:1
Mark 3:20-35

Daily Prayer: Week C
Jeremiah 6:16-21
Acts 22:22 - 23:11
Luke 7:11-17",Normal,Normal,3
"Barnabus, Apostle [4] Red",11/06/2012,,,,TRUE,FALSE,"Barnabus, Apostle [4] Red

DAILY EUCHARIST
Isaiah 45:5-12 or Job 29:11-16
Psalm 112
Acts 11:19-30; (13:1-30)
Matthew 10:7-16 or John 15:12-17

MORNING PRAYER: Festivals
Sirach 31:3-11
Acts 4:32-37

EVENING PRAYER: Festivals
Job 29:11-16
Acts 9:26-31",Normal,Normal,3
"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White",12/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Pentecost 2,13/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White",14/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Pentecost 2,15/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 2,16/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 3 [3] Green; SPB Trinity 2,17/06/2012,,,,TRUE,FALSE,"Pentecost 3 [3] Green; SPB Trinity 2 | Week of Proper 11

Eucharist: Continuous
1 Samuel 15:34 - 16:13
Psalm 20
2 Corinthians 5:6-10, (11-13), 14-17
Mark 4:26-34

Eucharist: Thematic
Ezekiel 17:22-24
Psalm 92:1-4, 12-15
2 Corinthians 5:6-10, (11-13), 14-17
Mark 4:26-34

Daily Prayer: Week D
Jeremiah 7:1-16
Acts 23:12-35
Luke 7:36 - 8:3

Alternative Psalms
Morning: 42
Evening: 39",Normal,Normal,3
"Bernard Mizeki, Martyr, 1896 [6] Red",18/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Pentecost 3,19/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Fillan, Abbot, c.750 [6] Red",20/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Pentecost 3,21/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Alban, Martyr [6] Red",22/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 3,23/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 4 [3] Green; SPB Trinity 3,24/06/2012,,,,TRUE,FALSE,"Pentecost 4 [3] Green; SPB Trinity 3 | Week of Proper 12

Eucharist: Continuous
1 Samuel 17:57 - 18:5, 10-16
Psalm 133
2 Corinthians 6:1-13
Mark 4:35-41

Eucharist: Thematic
Job 38:1-11
Psalm 107:1-3, 23-32
2 Corinthians 6:1-13
Mark 4:35-41

Daily Prayer: Week A
Jeremiah 10:1-16
Acts 27:1-12
Luke 8:26-39

Alternative Psalms
Morning: 46
Evening: 49",Normal,Normal,3
The Birth of John the Baptist [4] White (translated from 24 June),25/06/2012,,,,TRUE,FALSE,"The Birth of John the Baptist [4] White

DAILY EUCHARIST
Isaiah 40:1-11
Psalm 85:7-13
Acts 13:14b-26 or Galatians 3:23-29
Luke 1:56-66, (67-79), 80

MORNING PRAYER: Festivals
Malachi 3:1-5
John 3:22-30

EVENING PRAYER: Festivals
Malachi 4:1-6
Matthew 11:2-19",Normal,Normal,3
"Robert Leighton, Bishop, 1684 [6] White",26/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Alexander Jolly, Bishop, 1838 [6] White",27/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Irenaeus of Lyons, Bishop and Teacher of the Faith, 202 [6] White",28/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
