Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"Maelrubha of Applecross, Abbot, 722 [6] White",20/04/2007,,,,TRUE,,3
"Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White",21/04/2007,,,,TRUE,,3
Third Sunday of Easter [1] White / SPB Second Sunday after Easter,22/04/2007,,,,TRUE,,3
"George, Patron of England, Martyr, c.303 [6] Red",23/04/2007,,,,TRUE,,3
Tuesday of Easter 3,24/04/2007,,,,TRUE,,3
"Mark, Evangelist [4] Red",25/04/2007,,,,TRUE,,3
"Albert Ernest Laurie, Priest, 1937 [6] White",26/04/2007,,,,TRUE,,3
Friday of Easter 3,27/04/2007,,,,TRUE,,3
Saturday of Easter 3,28/04/2007,,,,TRUE,,3
Fourth Sunday of Easter [1] White / SPB Third Sunday after Easter,29/04/2007,,,,TRUE,,3
"Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White (translated from 29 April)",30/04/2007,,,,TRUE,,3
"Philip and James, Apostles [4] Red",01/05/2007,,,,TRUE,,3
"Athanasius, Bishop and Teacher of the Faith, 373 [6] White",02/05/2007,,,,TRUE,,3
Thursday of Easter 4,03/05/2007,,,,TRUE,,3
Friday of Easter 4,04/05/2007,,,,TRUE,,3
Saturday of Easter 4,05/05/2007,,,,TRUE,,3
Fifth Sunday of Easter [1] White / SPB Fourth Sunday after Easter,06/05/2007,,,,TRUE,,3
Monday of Easter 5,07/05/2007,,,,TRUE,,3
"Julian of Norwich, c.1413 [6] White",08/05/2007,,,,TRUE,,3
Wednesday of Easter 5,09/05/2007,,,,TRUE,,3
Thursday of Easter 5,10/05/2007,,,,TRUE,,3
Friday of Easter 5,11/05/2007,,,,TRUE,,3
"Thomas Rattray, Bishop, 1743 [6] White",12/05/2007,,,,TRUE,,3
Sixth Sunday of Easter [1] White / SPB Fifth Sunday after Easter,13/05/2007,,,,TRUE,,3
"Matthias, Apostle [4] Red",14/05/2007,,,,TRUE,,3
Tuesday of Easter 6,15/05/2007,,,,TRUE,,3
Wednesday of Easter 6,16/05/2007,,,,TRUE,,3
ASCENSION DAY [1] White,17/05/2007,,,,TRUE,,3
Friday after Ascension Day,18/05/2007,,,,TRUE,,3
Saturday after Ascension Day,19/05/2007,,,,TRUE,,3
Seventh Sunday of Easter [1] White / SPB Sunday after Ascension Day,20/05/2007,,,,TRUE,,3
"Helena, c.330 [6] White",21/05/2007,,,,TRUE,,3
Tuesday of Easter 7,22/05/2007,,,,TRUE,,3
"William of Perth (or Rochester), 1201 [6] White",23/05/2007,,,,TRUE,,3
Thursday of Easter 7,24/05/2007,,,,TRUE,,3
"Bede the Venerable, of Jarrow, Teacher of the Faith, 735 [6] White",25/05/2007,,,,TRUE,,3
"Augustine of Canterbury, Bishop, c.604 [6] White",26/05/2007,,,,TRUE,,3
THE DAY OF PENTECOST (Whitsunday) [1] Red,27/05/2007,,,,TRUE,,3
Monday after Pentecost,28/05/2007,,,,TRUE,,3
Tuesday after Pentecost,29/05/2007,,,,TRUE,,3
Wednesday after Pentecost,30/05/2007,,,,TRUE,,3
The Visit of Mary to Elizabeth [5] White,31/05/2007,,,,TRUE,,3
"Justin of Rome, Martyr, c.165 [6] Red",01/06/2007,,,,TRUE,,3
"Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red",02/06/2007,,,,TRUE,,3
Trinity Sunday [2] (Pentecost 1) White,03/06/2007,,,,TRUE,,3
"John XXIII, Bishop of Rome, Reformer, 1963 [6] Red",04/06/2007,,,,TRUE,,3
"Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red",05/06/2007,,,,TRUE,,3
Wednesday after Trinity Sunday,06/06/2007,,,,TRUE,,3
Corpus Christi [5] White,07/06/2007,,,,TRUE,,3
"Ephrem the Syrian, Deacon and Teacher of the Faith, 373 [6] White (Ordination of the Bishop of Argyll, 2004)",08/06/2007,,,,TRUE,,3
"Columba of Iona, Abbot, 597 [4] White",09/06/2007,,,,TRUE,,3
Pentecost 2 [3] Green / SPB Trinity 1,10/06/2007,,,,TRUE,,3
"Barnabas, Apostle [4] Red",11/06/2007,,,,TRUE,,3
"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White",12/06/2007,,,,TRUE,,3
Wednesday of Pentecost 2,13/06/2007,,,,TRUE,,3
"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White",14/06/2007,,,,TRUE,,3
Friday of Pentecost 2,15/06/2007,,,,TRUE,,3
Saturday of Pentecost 2,16/06/2007,,,,TRUE,,3
Pentecost 3 [3] Green / SPB Trinity 2,17/06/2007,,,,TRUE,,3
"Bernard Mizeki, Martyr, 1896 [6] Red",18/06/2007,,,,TRUE,,3
Tuesday of Pentecost 3,19/06/2007,,,,TRUE,,3
"Fillan, Abbot, c.750 [6] Red",20/06/2007,,,,TRUE,,3
Thursday of Pentecost 3,21/06/2007,,,,TRUE,,3
"Alban, Martyr, c.209 [6] Red",22/06/2007,,,,TRUE,,3
"Saturday of Pentecost 3 (Installation of the Bishop of Edinburgh, 2001)",23/06/2007,,,,TRUE,,3
Pentecost 4 [3] Green / SPB Trinity 3,24/06/2007,,,,TRUE,,3
The Birth of John the Baptist [4] White (translated from 24 June),25/06/2007,,,,TRUE,,3
"Robert Leighton, Bishop, 1684 [6] White",26/06/2007,,,,TRUE,,3
"Alexander Jolly, Bishop, 1838 [6] White",27/06/2007,,,,TRUE,,3
"Irenaeus of Lyons, Bishop and Teacher of the Faith, 202 [6] White",28/06/2007,,,,TRUE,,3
"Peter, Apostle (or Peter and Paul, Apostles) [4] Red",29/06/2007,,,,TRUE,,3
Saturday of Pentecost 4,30/06/2007,,,,TRUE,,3
Pentecost 5 [3] Green / SPB Trinity 4,01/07/2007,,,,TRUE,,3
"Serf, Bishop, c.550 [6] White (translated from 1 July)",02/07/2007,,,,TRUE,,3
