Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
Sixth Sunday after Epiphany [3] Green (Second Sunday before Lent) (SPB Sexagesima - Violet),15/02/2009,,,,TRUE,,3
"Thomas Bray, Priest and Missionary, 1730 [6] White (translated from 15 February)",16/02/2009,,,,TRUE,,3
"Finan of Lindisfarne, Bishop, 661 [6] White",17/02/2009,,,,TRUE,,3
"Colman of Lindisfarne, Bishop, 767 [6] White",18/02/2009,,,,TRUE,,3
"Martin Luther, 1545 [6] White",19/02/2009,,,,TRUE,,3
Friday after Sixth Sunday after Epiphany,20/02/2009,,,,TRUE,,3
Saturday after Sixth Sunday after Epiphany,21/02/2009,,,,TRUE,,3
Sunday before Lent [3] Green (SPB Quinquagesima - Violet),22/02/2009,,,,TRUE,,3
"Polycarp of Smyrna, Bishop and Martyr, 156 [6] Red",23/02/2009,,,,TRUE,,3
Tuesday after Sunday before Lent,24/02/2009,,,,TRUE,,3
Ash Wednesday [1] Violet or Lenten Array,25/02/2009,,,,TRUE,,3
Thursday after Ash Wednesday,26/02/2009,,,,TRUE,,3
Friday after Ash Wednesday,27/02/2009,,,,TRUE,,3
Saturday after Ash Wednesday,28/02/2009,,,,TRUE,,3
First Sunday of Lent [1] Violet or Lenten Array,01/03/2009,,,,TRUE,,3
"Chad of Lichfield, Bishop, 672 [6] White",02/03/2009,,,,TRUE,,3
"John and Charles Wesley, Priests, 1791 and 1788 [6] White",03/03/2009,,,,TRUE,,3
"Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red",04/03/2009,,,,TRUE,,3
"David, Bishop, Patron of Wales, c.544 [6] White (translated from 1 March)",05/03/2009,,,,TRUE,,3
"Baldred, Bishop, 608 [6] White",06/03/2009,,,,TRUE,,3
"Perpetua and her Companions, Martyrs, 203 [6] Red",07/03/2009,,,,TRUE,,3
Second Sunday of Lent [1] Violet or Lenten Array,08/03/2009,,,,TRUE,,3
"Duthac, Bishop, 1068 [6] White (translated from 8 March)",09/03/2009,,,,TRUE,,3
"Kessog, Bishop, c.700 [6] Red",10/03/2009,,,,TRUE,,3
"Wednesday after Second Sunday of Lent (Ordination of the Bishop of St Andrews, 2005)",11/03/2009,,,,TRUE,,3
Thursday after Second Sunday of Lent,12/03/2009,,,,TRUE,,3
Friday after Second Sunday of Lent,13/03/2009,,,,TRUE,,3
Saturday after Second Sunday of Lent,14/03/2009,,,,TRUE,,3
Third Sunday of Lent [1] Violet or Lenten Array,15/03/2009,,,,TRUE,,3
"Boniface of Ross, Bishop, 8th century [6] White",16/03/2009,,,,TRUE,,3
"Patrick, Bishop, Patron of Ireland, 461 [4] White",17/03/2009,,,,TRUE,,3
"Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White",18/03/2009,,,,TRUE,,3
Joseph of Nazareth [4] White,19/03/2009,,,,TRUE,,3
"Cuthbert, Bishop, 687 [6] White",20/03/2009,,,,TRUE,,3
"Thomas Cranmer, Bishop, 1556 [6] Red",21/03/2009,,,,TRUE,,3
Fourth Sunday of Lent [1] Violet or Lenten Array,22/03/2009,,,,TRUE,,3
"Thomas Ken, Bishop, 1711 [6] White (translated from 22 March)",23/03/2009,,,,TRUE,,3
"Paul Couturier, Priest, 1953 [6] White",24/03/2009,,,,TRUE,,3
THE ANNUNCIATION OF THE LORD [2] White,25/03/2009,,,,TRUE,,3
Thursday after Fourth Sunday of Lent,26/03/2009,,,,TRUE,,3
Friday after Fourth Sunday of Lent,27/03/2009,,,,TRUE,,3
"Patrick Forbes, Bishop, 1636, and the Aberdeen Doctors, Teachers of the Faith [6] White",28/03/2009,,,,TRUE,,3
Fifth Sunday of Lent [1] Violet or Lenten Array,29/03/2009,,,,TRUE,,3
"John Keeble, Priest, 1866 [6] White (translated from 29 March)",30/03/2009,,,,TRUE,,3
Tuesday after Fifth Sunday of Lent,31/03/2009,,,,TRUE,,3
"Gilbert of Caithness, Bishop, 1245 [6] White",01/04/2009,,,,TRUE,,3
Thursday after Fifth Sunday of Lent,02/04/2009,,,,TRUE,,3
Friday after Fifth Sunday of Lent,03/04/2009,,,,TRUE,,3
Saturday after Fifth Sunday of Lent,04/04/2009,,,,TRUE,,3
The Sunday of the Passion (Palm Sunday) [1] Red or Violet,05/04/2009,,,,TRUE,,3
Monday of Holy Week [1] Red or Violet,06/04/2009,,,,TRUE,,3
Tuesday of Holy Week [1] Red or Violet,07/04/2009,,,,TRUE,,3
Wednesday of Holy Week [1] Red or Violet,08/04/2009,,,,TRUE,,3
Maundy Thursday [1] White at the Eucharist,09/04/2009,,,,TRUE,"Dietrich Bonhoeffer, Theologian and Martyr, 1945 [6] Red",3
Good Friday [1] Red for the Liturgy; Hangings removed,10/04/2009,,,,TRUE,"William Law, Priest, 1761 [6] White",3
Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil,11/04/2009,,,,TRUE,"George Augustus Selwyn, Bishop and Missionary, 1878 [6] White",3
EASTER DAY [1] White,12/04/2009,,,,TRUE,"William Forbes, Bishop, 1634 [6] White",3
Monday of Easter week,13/04/2009,,,,TRUE,,3
Tuesday of Easter week,14/04/2009,,,,TRUE,,3
Wednesday of Easter week,15/04/2009,,,,TRUE,,3
Thursday of Easter week,16/04/2009,,,,TRUE,"Magnus of Orkney, Martyr, c.1116 [6] Red",3
Friday of Easter week,17/04/2009,,,,TRUE,"Donnan, Abbot and Companions, Martyrs, c.617 [6] Red",3
Saturday of Easter week,18/04/2009,,,,TRUE,,3
Second Sunday of Easter [1] White; SPB First Sunday after Easter,19/04/2009,,,,TRUE,,3
"Maelrubha of Applecross, Abbot, 722 [6] White",20/04/2009,,,,TRUE,,3
"Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White",21/04/2009,,,,TRUE,,3
Wednesday after Second Sunday of Easter,22/04/2009,,,,TRUE,,3
"George, Patron of England, Martyr, c.303 [6] Red",23/04/2009,,,,TRUE,,3
Friday after Second Sunday of Easter,24/04/2009,,,,TRUE,,3
"Mark, Evangelist [4] Red",25/04/2009,,,,TRUE,,3
Third Sunday of Easter [1] White; SPB Second Sunday after Easter,26/04/2009,,,,TRUE,,3
"Albert Ernest Laurie, Priest, 1937 [6] White (translated from 26 April)",27/04/2009,,,,TRUE,,3
Tuesday after Third Sunday of Easter,28/04/2009,,,,TRUE,,3
"Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White",29/04/2009,,,,TRUE,,3
Thursday after Third Sunday of Easter,30/04/2009,,,,TRUE,,3
"Philip and James, Apostles [4] Red",01/05/2009,,,,TRUE,,3
"Athenasius, Bishop and Teacher of the Faith, 373 [6] White",02/05/2009,,,,TRUE,,3
Fourth Sunday of Easter [1] White; SPB Third Sunday after Easter,03/05/2009,,,,TRUE,,3
Monday after Fourth Sunday of Easter,04/05/2009,,,,TRUE,,3
Tuesday after Fourth Sunday of Easter,05/05/2009,,,,TRUE,,3
Wednesday after Fourth Sunday of Easter,06/05/2009,,,,TRUE,,3
Thursday after Fourth Sunday of Easter,07/05/2009,,,,TRUE,,3
"Julian of Norwich, c.1413 [6] White",08/05/2009,,,,TRUE,,3
Saturday after Fourth Sunday of Easter,09/05/2009,,,,TRUE,,3
Fifth Sunday of Easter [1] White; SPB Fourth Sunday after Easter,10/05/2009,,,,TRUE,,3
Monday after Fifth Sunday of Easter,11/05/2009,,,,TRUE,,3
"Thomas Rattray, Bishop, 1743 [6] White",12/05/2009,,,,TRUE,,3
Wednesday after Fifth Sunday of Easter,13/05/2009,,,,TRUE,,3
"Matthias, Apostle [4] Red",14/05/2009,,,,TRUE,,3
Friday after Fifth Sunday of Easter,15/05/2009,,,,TRUE,,3
Saturday after Fifth Sunday of Easter,16/05/2009,,,,TRUE,,3
Sixth Sunday of Easter [1] White; SPB Fifth Sunday after Easter,17/05/2009,,,,TRUE,,3
