Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"John, Apostle and Evangelist [4] White",27/12/2012,,,,TRUE,FALSE,"The Remaining Days of Christmas
John, Apostle and Evangelist [4] White (Thursday 27 December)

DAILY EUCHARIST
Genesis 1 or Genesis 1:1-5, 12-19
Psalm 92:1-2, 11-14
1 John 1:1-9
John 20:1-8

MORNING PRAYER: Incarnation/Festivals
Proverbs 8:22-30
John 13:20-35

EVENING PRAYER: Incarnation/Festivals
Isaiah 44:1-8
1 John 5:1-12",Normal,Normal,3
The Holy Innocents [4] White,28/12/2012,,,,TRUE,FALSE,"The Remaining Days of Christmas
The Holy Innocents [4] White (Friday 28 December)

DAILY EUCHARIST
Jeremiah 31:15-17
Psalm 124
Revelation 21:1-7
Matthew 2:13-18

MORNING PRAYER: Incarnation/Festivals
Isaiah 49:13-23
Matthew 18:1-14

EVENING PRAYER: Incarnation/Festivals
Isaiah 54:1-13
Mark 10:13-16",Normal,Normal,3
"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red",29/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
First Sunday after Christmas [2] White,30/12/2012,,,,TRUE,FALSE,"Week of Christmas 1
First Sunday after Christmas [2] White

EUCHARIST
1 Samuel 2:18-20, 26
Psalm 148
Colossians 3:12-17
Luke 2:41-52

DAILY PRAYER: Incarnation 
Isaiah 49:7-13
Colossians 1:9-20
Luke 2:41-52

ALTERNATIVE PSALMS
Morning: Psalm 132
Evening: Psalm 105:1-9",Normal,Normal,3
"John Wycliffe, Priest, 1384 [6] White",31/12/2012,,,,TRUE,FALSE,,Normal,Normal,3
THE NAMING OF JESUS [2] White,01/01/2013,,,,TRUE,FALSE,"Week of Christmas 2
Tuesday 1 January (New Year's Day)
THE NAMING OF JESUS [2] White

DAILY EUCHARIST
Numbers 6:22-27
Psalm 8
Galatians 4:4-7 or Philippians 2:5-11
Luke 2:15-21

DAILY PRAYER: Incarnation/Festivals 
Genesis 17:1-12a, 15-16
Colossians 2:6-12
John 16:23b-30",Normal,Normal,3
"Seraphim of Sarov, 1833 [6] White",02/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Josephine Butler, 1905 [6] White (transferred from 30 December)",03/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after first Sunday after Christmas,04/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after first Sunday after Christmas,05/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
THE EPIPHANY [1] White,06/01/2013,,,,TRUE,FALSE,"Epiphany
THE EPIPHANY [1] White (Sunday 6 January)

EUCHARIST
1 Isaiah 60:1-6
Psalm 72:1-7, 10-14
Ephesians 3:1-12
Matthew 2:1-12

DAILY PRAYER: Incarnation 
Isaiah 52:7-10
Revelation 21:22-27
Matthew 12:14-21",Normal,Normal,3
Monday after Epiphany,07/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Epiphany,08/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Epiphany,09/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"William Laud, Bishop, 1645 [6] Red",10/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"David, King of Scots, 1153 [6] Red",11/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Epiphany,12/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
First Sunday after Epiphany: The Baptism of the Lord [2] White,13/01/2013,,,,TRUE,FALSE,"Week of Proper 1
First Sunday after Epiphany: The Baptism of the Lord [2] White

EUCHARIST
Isaiah 43:1-7
Psalm 29
Acts 8:14-17
Luke 3:15-17, 21-22

DAILY PRAYER: Festivals 
Joshua 3:1-8, 14-17
Hebrews 1:1-12
Matthew 3:13-17

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 89:20-29",Normal,Normal,3
"Kentigern (or Mungo), Bishop c.603 [4] White (translated from 13 January)",14/01/2013,,,,TRUE,FALSE,"Kentigern (or Mungo), Bishop c.603 [4] White (translated from 13 January)

EUCHARIST
Isaiah 52:7-10
Psalm 16:5-11
1 Thessalonians 2:2-12 or 1 Corinthians 9:16-19, 22-23
Matthew 28:16-20

MORNING PRAYER: Festivals
Isaiah 44:1-8
1 Thessalonians 1:2-10 or 2 Corinthians 2:12 - 3:11

EVENING PRAYER: Festivals
Sirah 50:1-24 or Isaiah 52:7-12
John 1:1-18",Normal,Normal,3
"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White (translated from 14 January)",15/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after First Sunday after Epiphany,16/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Antony of Egypt, Abbot, 356 [6] White",17/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
The Confession of Peter [6] White,18/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after First Sunday after Epiphany,19/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Second Sunday after Epiphany [3] Green,20/01/2013,,,,TRUE,FALSE,"Week of Proper 2
Second Sunday after Epiphany [3] Green

EUCHARIST
Isaiah 62:1-5
Psalm 36:5-10
1 Corinthains 12:1-11
John 2:1-11

DAILY PRAYER: Week B 
Ezekiel 2:1-7
Hebrews 6:17 - 7:10
Matthew 8:5-13

ALTERNATIVE PSALMS
Morning: Psalm 96
Evening: Psalm 145:1-12",Normal,Normal,3
"Agnes, Martyr, c.304 [6] Red",21/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Second Sunday after Epiphany,22/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Second Sunday after Epiphany,23/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
