date,feast,colour
13/03/2013,Wednesday after Fourth Sunday of Lent,violet
14/03/2013,Thursday after Fourth Sunday of Lent,violet
15/03/2013,Friday after Fourth Sunday of Lent,violet
16/03/2013,"Boniface of Ross, Bishop, 8th century [6] White",white
17/03/2013,Fifth Sunday of Lent [1] Violet or Lenten Array,violet
18/03/2013,"Patrick, Bishop, Patron of Ireland, 461 [4] White (translated from 18 March)",white
19/03/2013,Joseph of Nazareth [4] White,white
20/03/2013,"Cuthbert, Bishop, 687 [6] White",white
21/03/2013,"Thomas Cranmer, Bishop, 1556 [6] Red",red
22/03/2013,"Thomas Ken, Bishop, 1711 [6] White",white
23/03/2013,"Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White (translated from 18 January)",white
24/03/2013,The Sunday of the Passion (Palm Sunday) [1] Red or Violet,red
25/03/2013,Monday of Holy Week [1] Red or Violet,violet
26/03/2013,Tuesday of Holy Week [1] Red or Violet,violet
27/03/2013,Wednesday of Holy Week [1] Red or Violet,violet
28/03/2013,Maundy Thursday [1] White at the Eucharist,white
29/03/2013,Good Friday [1] Red for the Liturgy; Hangings removed,red
30/03/2013,Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil,white
31/03/2013,EASTER DAY [1] White,white
01/04/2013,Monday of Easter week,white
02/04/2013,Tuesday of Easter week,white
03/04/2013,Wednesday of Easter week,white
04/04/2013,Thursday of Easter week,white
05/04/2013,Friday of Easter week,white
06/04/2013,Saturday of Easter week,white
07/04/2013,Second Sunday of Easter [1] White; SPB First Sunday after Easter,white
08/04/2013,THE ANNUNCIATION OF THE LORD [2] White (translated from 25 March),white
09/04/2013,"Dietrich Bonhoeffer, Theologian and Martyr, 1945 [6] Red",red
10/04/2013,"William Law, Priest, 1761 [6] White",white
11/04/2013,"George Augustus Selwyn, Bishop and Missionary, 1878 [6] White",white
12/04/2013,"William Forbes, Bishop, 1634 [6] White",white
13/04/2013,Saturday after Second Sunday of Easter,white
14/04/2013,Third Sunday of Easter [1] White; SPB Second Sunday after Easter,white
15/04/2013,Monday after Third Sunday of Easter,white
16/04/2013,"Magnus of Orkney, Martyr, c.1116 [6] Red",red
17/04/2013,"Donnan, Abbot and Companions, Martyrs, c.617 [6] Red",red
18/04/2013,Thursday after Third Sunday of Easter,white
19/04/2013,Friday after Third Sunday of Easter,white
20/04/2013,"Maelrubha of Applecross, Abbot, 722 [6] White",white
21/04/2013,Fourth Sunday of Easter [1] White; SPB Third Sunday after Easter (Vocations Sunday),white
22/04/2013,"Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White (transferred from 21 April)",white
23/04/2013,"George, Patron of England, Martyr, c.303 [6] Red",red
24/04/2013,Wednesday after Fourth Sunday of Easter,white
25/04/2013,"Mark, Evangelist [4] Red",red
26/04/2013,"Albert Ernest Laurie, Priest, 1937 [6] White",white
27/04/2013,Saturday after Fourth Sunday of Easter,white
