Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"Jane Frances de Chantal, Religious (EMBER DAY)",12/12/2003,,,,TRUE,"Lectionary Details for 12/12/2003
Year: C/2 Colour: White   - Divine Office Week: 2
Readings for Mass First Reading: Isaiah 48:17-19 Responsorial Psalm: Psalms 1:1-2, 3, 4, 6 Gospel: Matthew 11:16-19 Saint Jane Frances de Chantal, religious - Optional Memorial Readings for Mass From the Common of holy men and women [for religious] or From the Proper of the Season 

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Lucy, Virgin and Martyr, 304 (EMBER DAY); CW: Samuel Johnson, Moralist, 1784",13/12/2003,,,,TRUE,"Lectionary Details for 13/12/2003
Year: C/2 Colour: Red   - Divine Office Week: 2
Readings for Mass From the Common of martyrs or From the Common of virgins or From the Proper of the Season (Saturday of the Second week of Advent) First Reading: Sirach 48:1-4, 9-11 Responsorial Psalm: Psalms 80:2-3, 15-16, 18-19 Gospel: Matthew 17:10-13

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Third Sunday of Advent,14/12/2003,,,,TRUE,"Lectionary Details for 14/12/2003
Year: C/2 Colour: Purple or Rose Creed - Divine Office Week: 3
Readings for Mass First Reading: Zephaniah 3:14-18 Responsorial Psalm: Isaiah 12:2-3, 4, 5-6 Second Reading: Philippians 4:4-7 Gospel: Luke 3:10-18

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Monday of the Third week of Advent,15/12/2003,,,,TRUE,"Lectionary Details for 15/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 3
Readings for Mass First Reading: Numbers 24:2-7, 15-17 Responsorial Psalm: Psalms 25:4-5, 6-7, 8-9 Gospel: Matthew 21:23-27

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Tuesday of the Third week of Advent,16/12/2003,,,,TRUE,"Lectionary Details for 16/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 3
Readings for Mass First Reading: Zephaniah 3:1-2, 9-13 Responsorial Psalm: Psalms 34:2-3, 6-7, 17-18, 19, 23 Gospel: Matthew 21:28-32

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"O Sapentia; Eglantine Jebb, Social Reformer, founder of Save the Children, 1928",17/12/2003,,,,TRUE,"Lectionary Details for 17/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 3
Readings for Mass First Reading: Genesis 49:2, 8-10 Responsorial Psalm: Psalms 72:3-4, 7-8, 17 Gospel: Matthew 1:1-17

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
O Adonai,18/12/2003,,,,TRUE,"Lectionary Details for 18/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 3
Readings for Mass First Reading: Jeremiah 23:5-8 Responsorial Psalm: Psalms 72:1, 12-13, 18-19 Gospel: Matthew 1:18-24

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
O Radix,19/12/2003,,,,TRUE,"Lectionary Details for 19/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 3
Readings for Mass First Reading: Judges 13:2-7, 24-25 Responsorial Psalm: Psalms 71:3-4, 5-6, 16-17 Gospel: Luke 1:5-25

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
O Clavis,20/12/2003,,,,TRUE,"Lectionary Details for 20/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 3
Readings for Mass First Reading: Isaiah 7:10-14 Responsorial Psalm: Psalms 24:1-2, 3-4, 5-6 Gospel: Luke 1:26-38

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
O Oriens,21/12/2003,,,,TRUE,"Lectionary Details for 21/12/2003
Year: C/2 Colour: Purple  Creed - Divine Office Week: 4
Readings for Mass First Reading: Micah 5:1-4 Responsorial Psalm: Psalms 80:2-3, 15-16, 18-19 Second Reading: Hebrews 10:5-10 Gospel: Luke 1:39-45

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
O Rex,22/12/2003,,,,TRUE,"Lectionary Details for 22/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 4
Readings for Mass First Reading: First Samuel 1:24-28 Responsorial Psalm: First Samuel 2:1, 4-5, 6-7, 8 Gospel: Luke 1:46-56

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
