Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
Maundy Thursday [1] White at the Eucharist,20/03/2008,,,,TRUE,,3
Good Friday [1] Red for the Liturgy / Hangings removed,21/03/2008,,,,TRUE,,3
Holy Saturday (Easter Eve) [1] Hangings removed [White at the Easter Vigil],22/03/2008,,,,TRUE,,3
EASTER DAY [1] White,23/03/2008,,,,TRUE,,3
"Paul Couturier, Priest, 1953 [6] White",24/03/2008,,,,TRUE,,3
Tuesday of Easter Week,25/03/2008,,,,TRUE,,3
Wednesday of Easter Week,26/03/2008,,,,TRUE,,3
Thursday of Easter Week,27/03/2008,,,,TRUE,,3
"Patrick Forbes, Bishop, 1636, and the Aberdeen Doctors, Teachers of the Faith [6] White",28/03/2008,,,,TRUE,,3
"John Keeble, Priest, 1866 [6] White",29/03/2008,,,,TRUE,,3
Second Sunday of Easter [1] White / SPB First Sunday after Easter,30/03/2008,,,,TRUE,,3
THE ANNUNCIATION OF THE LORD [2] White (translated from 25 March),31/03/2008,,,,TRUE,,3
"Patrick, Bishop, Patron of Ireland, 461 [4] White (translated from 17 March)",01/04/2008,,,,TRUE,,3
Joseph of Nazareth [4] White (translated from 19 March),02/04/2008,,,,TRUE,,3
"Gilbert of Caithness, Bishop, 1245 [6] White (translated from 1 April)",03/04/2008,,,,TRUE,,3
Friday of Easter 2,04/04/2008,,,,TRUE,,3
Saturday of Easter 2,05/04/2008,,,,TRUE,,3
Third Sunday of Easter [1] White / SPB Second Sunday after Easter,06/04/2008,,,,TRUE,,3
Monday of Easter 3,07/04/2008,,,,TRUE,,3
Tuesday of Easter 3,08/04/2008,,,,TRUE,,3
"Dietrich Bonhoeffer, Theologian and Martyr, 1945 [6] Red",09/04/2008,,,,TRUE,,3
"William Law, Priest, 1761 [6] White",10/04/2008,,,,TRUE,,3
"George Augustus Selwyn, Bishop and Missionary, 1878 [6] White",11/04/2008,,,,TRUE,,3
"William Forbes, Bishop, 1634 [6] White",12/04/2008,,,,TRUE,,3
Fourth Sunday of Easter [1] White / SPB Third Sunday after Easter,13/04/2008,,,,TRUE,,3
Monday of Easter 4,14/04/2008,,,,TRUE,,3
Tuesday of Easter 4,15/04/2008,,,,TRUE,,3
"Magnus of Orkney, Martyr, c.1116 [6] Red",16/04/2008,,,,TRUE,,3
"Donnan, Abbot and Companions, Martyrs, c.617 [6] Red",17/04/2008,,,,TRUE,,3
Friday of Easter 4,18/04/2008,,,,TRUE,,3
Saturday of Easter 4,19/04/2008,,,,TRUE,,3
Fifth Sunday of Easter [1] White / SPB Fourth Sunday after Easter,20/04/2008,,,,TRUE,,3
"Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White",21/04/2008,,,,TRUE,,3
"Maelrubha of Applecross, Abbot, 722 [6] White (translated from 20 April)",22/04/2008,,,,TRUE,,3
"George, Patron of England, Martyr, c.303 [6] Red",23/04/2008,,,,TRUE,,3
Thursday of Easter 5,24/04/2008,,,,TRUE,,3
"Mark, Evangelist [4] Red",25/04/2008,,,,TRUE,,3
"Albert Ernest Laurie, Priest, 1937 [6] White",26/04/2008,,,,TRUE,,3
Sixth Sunday of Easter [1] White / SPB Fifth Sunday after Easter,27/04/2008,,,,TRUE,,3
Monday of Easter 6,28/04/2008,,,,TRUE,,3
"Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White",29/04/2008,,,,TRUE,,3
Wednesday of Easter 6,30/04/2008,,,,TRUE,,3
ASCENSION DAY [1] White,01/05/2008,,,,TRUE,,3
"Philip and James, Apostles [4] Red (translated from 1 May)",02/05/2008,,,,TRUE,,3
