Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
Second Sunday after Christmas [3] White,02/01/2011,,,,TRUE,FALSE,"Second Sunday after Christmas [3] White | Week of Christmas 2

EUCHARIST
Jeremiah 31:7-14 or Sirach 24:1-12
Psalm 147:12-20 or Wisdom 10:15-21
Ephesians 1:3-14
John 1:(1-9), 10-18

DAILY PRAYER: Incarnation 
Isaiah 41:21-42
Romans 12:1-8
Matthew 2:12-23

ALTERNATIVE PSALMS
Morning: Psalm 135:1-14
Evening: Psalm 87",Normal,Normal,3
"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red (translated from 29 December)",03/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Seraphim of Sarov, 1833 [6] White (translated from 2 January)",04/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after the Second Sunday after Christmas,05/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
THE EPIPHANY [1] White,06/01/2011,,,,TRUE,FALSE,"Thursday after Christmas 2 (6 January)
THE EPIPHANY [1] White

DAILY EUCHARIST
1 Isaiah 60:1-6
Psalm 72:1-7, 10-14
Ephesians 3:1-12
Matthew 2:1-12

DAILY PRAYER: Incarnation 
Isaiah 52:7-10
Revelation 21:22-27
Matthew 12:14-21",Normal,Normal,3
Friday after The Epiphany,07/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after The Epiphany,08/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
First Sunday after Epiphany: The Baptism of the Lord [2] White,09/01/2011,,,,TRUE,FALSE,"First Sunday after Epiphany: The Baptism of the Lord [2] White | Week of Proper 1

EUCHARIST
Isaiah 42:1-9
Psalm 29
Acts 10:34-43
Matthew 3:13-17

DAILY PRAYER: Festivals 
Joshua 3:1-8, 14-17
Hebrews 1:1-12
Matthew 3:13-17

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 89:20-29",Normal,Normal,3
"William Laud, Bishop, 1645 [6] Red",10/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
"David, King of Scots, 1153 [6] Red",11/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Epiphany 1,12/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Kentigern (or Mungo), Bishop c.603 [4] White",13/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White",14/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Epiphany 1,15/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Second Sunday after Epiphany [3] Green,16/01/2011,,,,TRUE,FALSE,"Second Sunday after Epiphany [3] Green | Week of Proper 2

EUCHARIST
Isaiah 49:1-7
Psalm 40:1-11
1 Corinthians 1:1-9
John 1:29-42

DAILY PRAYER: Week B 
Ezekiel 2:1-7
Hebrews 6:17 - 7:10
Matthew 8:5-13

ALTERNATIVE PSALMS
Morning: Psalm 96
Evening: Psalm 145:1-12",Normal,Normal,3
"Antony of Egypt, Abbot, 356 [6] White",17/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
The Confession of Peter [6] White,18/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Epiphany 2 (Ember day),19/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Epiphany 2,20/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Agnes, Martyr, c.304 [6] Red (Ember day)",21/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Epiphany 2 (Ember day),22/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Third Sunday after Epiphany [3] Green,23/01/2011,,,,TRUE,FALSE,"Third Sunday after Epiphany [3] Green | Week of Proper 3

EUCHARIST
Isaiah 9:1-4
Psalm 27:1, 4-9
1 Corinthians 1:10-18
Matthew 4:12-23

DAILY PRAYER: Week C 
Ecclesiastes 3:1-11
Titus 2:1-8, 11-14
Matthew 4:12-23

ALTERNATIVE PSALMS
Morning: Psalm 33
Evening: Psalm 113",Normal,Normal,3
"Francis de Sales, Bishop, 1622 [6] White",24/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
"The Conversion of Paul, Apostle [4] White",25/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Timothy and Titus, Bishops [6] White",26/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White",27/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",28/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Epiphany 3,29/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
Fourth Sunday after Epiphany [3] Green,30/01/2011,,,,TRUE,FALSE,"Fourth Sunday after Epiphany [3] Green | Week of Proper 4

EUCHARIST
Micah 6:1-8
Psalm 15
1 Corinthians 1:18-31
Matthew 5:1-12

DAILY PRAYER: Week D 
Genesis 28:10-22
Philemon 1-16
Mark 1:21-28

ALTERNATIVE PSALMS
Morning: Psalm 34
Evening: Psalm 71:1-6, 15-17",Normal,Normal,3
"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red",31/01/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Bride of Kildare, Abbess, c.525 [6] White",01/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
THE PRESENTATION OF THE LORD [2] White,02/02/2011,,,,TRUE,FALSE,"Wednesday after Epiphany 4 | Week of Proper 4
THE PRESENTATION OF THE LORD [2] White

DAILY EUCHARIST
Malachi 3:1-4
Psalm 84 or Psalm 24:7-10
Hebrews 2:14-18
Luke 2:22-40

MORNING PRAYER: Festivals
1 Samuel 2:1-10
John 8:31-36

EVENING PRAYER: Festivals
Haggai 2:1-9
1 John 3:1-8",Normal,Normal,3
Saints and Martyrs of Europe [6] Red,03/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Charles I, King, 1649 [6] Red (translated from 30 January)",04/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Epiphany 4,05/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Fifth Sunday after Epiphany [3] Green,06/02/2011,,,,TRUE,FALSE,"Fifth Sunday after Epiphany [3] Green | Week of Proper 5

EUCHARIST
Isaiah 58:1-9a, (9b-12)
Psalm 112:1-9, (10)
1 Corinthians 2:1-12, (13-16)
Matthew 5:13-20

DAILY PRAYER: Week A
Amos 2:4-16
Ephesians 4:17-32
Mark 1:29-39

ALTERNATIVE PSALMS
Morning: Psalms 1 and 3
Evening: Psalm 4",Normal,Normal,3
