Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",14/12/2010,,,,TRUE,FALSE,"Tuesday after Advent 3
John of the Cross, Priest, Teacher of the Faith, 1591 [6] White

DAILY EUCHARIST
Zephaniah 3:1-2. 9-13
Psalm 34:1-8, 15-22
Matthew 21:28-32

DAILY PRAYER: Anticipation 
Isaiah 9:1-7
2 Peter 1:12-21
Luke 22:54-69",Normal,Normal,3
Wednesday after Advent 3,15/12/2010,,,,TRUE,FALSE,"Wednesday after Advent 3 [Violet]

DAILY EUCHARIST
Isaiah 45:5-8, (9-17), 18-25
Psalm 85:8-13
Luke 7:19-23

DAILY PRAYER: Anticipation 
Isaiah 9:8-17
2 Peter 2:1-10a
Mark 1:1-8",Normal,Normal,3
Thursday after Advent 3,16/12/2010,,,,TRUE,FALSE,"Thursday after Advent 3 [Violet]

DAILY EUCHARIST
Isaiah 54:1-10
Psalm 30
Luke 7:24-30

DAILY EUCHARIST: Anticipation 
Isaiah 9:18 - 10:4
2 Peter 2:10b-16
Matthew 3:1-12",Normal,Normal,3
Friday after Advent 3,17/12/2010,,,,TRUE,FALSE,"Friday after Advent 3 [Violet] (17 December)

DAILY EUCHARIST
Genesis 49:2, 8-10
Psalm 72:1-8
Matthew 1:1-7, 17

DAILY PRAYER: Anticipation 
Isaiah 10:5-19
2 Peter 2:17-22
Matthew 11:2-15",Normal,Normal,3
Saturday after Advent 3,18/12/2010,,,,TRUE,FALSE,"Saturday after Advent 3 [Violet] (18 December)

DAILY EUCHARIST
Jeremiah 23:5-8
Psalm 72:11-19
Matthew 1:18-25

DAILY PRAYER: Anticipation 
Isaiah 42:1-12
Ephesians 6:10-20
John 3:16-21",Normal,Normal,3
Fourth Sunday of Advent [1] Violet,19/12/2010,,,,TRUE,FALSE,"Fourth Sunday of Advent [1] Violet (19 December)

EUCHARIST
Isaiah 7:10-16
Psalm 80:1-7, 16-18
Romans 1:1-7
Matthew 1:18-25

DAILY PRAYER: Anticipation
Isaiah 11:1-9
Revelation 20:1-10
John 5:30-47",Normal,Normal,3
Monday after Advent 4,20/12/2010,,,,TRUE,FALSE,"Monday after Advent 4 [Violet] (20 December)

DAILY EUCHARIST
Isaiah 7:10-14
Psalm 24
Luke 1:26-38

DAILY PRAYER: Anticipation 
Isaiah 11:10-16
Revelation 20:11 - 21:8
Luke 1:5-25",Normal,Normal,3
"Thomas, Apostle [4] Red (if not kept on 3 July)",21/12/2010,,,,TRUE,FALSE,"Tuesday after Advent 4 (21 December)
Thomas, Apostle [4] Red (if not kept on 3 July)

DAILY EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7

or readings for 21 December

DAILY EUCHARIST
Song of Solomon 2:8-14 or Zephaniah 3:14-18a
Psalm 33:1-5, 20-22
Luke 1:39-45

DAILY PRAYER: Anticipation 
Isaiah 28:9-22
Revelation 21:9-21
Luke 1:26-38",Normal,Normal,3
Wednesday after Advent 4,22/12/2010,,,,TRUE,FALSE,"Wednesday after Advent 4 [Violet] (22 December)

DAILY EUCHARIST
1 Samuel 1:19-28
Psalm 113 or Psalm 122
Luke 1:46-56

DAILY PRAYER: Anticipation 
Isaiah 29:13-24
Revelation 21:22 - 22:5
Luke 1:39-48a, (48b-56)",Normal,Normal,3
Thursday after Advent 4,23/12/2010,,,,TRUE,FALSE,"Thursday after Advent 4 [Violet] (23 December)

DAILY EUCHARIST
Malachi 3:1-5
Psalm 25:1-14
Luke 1:57-66

DAILY PRAYER: Anticipation 
Isaiah 33:17-22
Revelation 22:6-11, 18-20
Luke 1:57-66",Normal,Normal,3
Christmas Eve [2],24/12/2010,,,,TRUE,FALSE,"CHRISTMAS EVE (24 December)

DAILY EUCHARIST
2 Samuel 7:1-16
Psalm 89:1-4, 19_29
Luke 1:67-79

MORNING PRAYER: Anticipation 
Isaiah 35:1-10
Revelation 22:12-17, 22
Luke 1:67-80

EVENING PRAYER: Anticipation
Isaiah 59:15b-21
Philippians 2:5-11",Normal,Normal,3
CHRISTMAS DAY [1] White,25/12/2010,,,,TRUE,FALSE,"CHRISTMAS DAY [1] White

EUCHARIST
Any of these propers may be used at midnight or during the day:  Those listed under C should be used at least once during the Christmas season:

A
Isaiah 9:2-7
Psalm 96
Titus 2:11-14
Luke 2:1-14 (15-20) 

B
Isaiah 62:6-12
Psalm 97
Titus 3:4-7
Luke 2: (1-7) 8-20

C
Isaiah 52:7-10
Psalm 98
Hebrews 1:1-4 (5-12) 
John 1:1-14

DAILY PRAYER: Incarnation 
Zechariah 2:10-13
1 John 4:7-16
John 3:31-36",Normal,Normal,3
First Sunday after Christmas [2] White,26/12/2010,,,,TRUE,FALSE,"First Sunday after Christmas [2] White
(Stephen, Deacon and Martyr has been translated to 29 December)

EUCHARIST
Isaiah 63:7-9
Psalm 148
Hebrews 2:10-18
Matthew 2:13-23

DAILY PRAYER: Incarnation 
Isaiah 49:7-13
Colossians 1:9-20
Luke 2:41-52

ALTERNATIVE PSALMS
Morning: Psalm 132
Evening: Psalm 105:1-9",Normal,Normal,3
"John, Apostle and Evangelist [4] White",27/12/2010,,,,TRUE,FALSE,"Monday after Christmas 1 (27 December)
John, Apostle and Evangelist [4] White

DAILY EUCHARIST
Genesis 1 or Genesis 1:1-5, 12-19
Psalm 92:1-2, 11-14
1 John 1:1-9
John 20:1-8

MORNING PRAYER: Incarnation/Festivals
Proverbs 8:22-30
John 13:20-35

EVENING PRAYER: Incarnation/Festivals
Isaiah 44:1-8
1 John 5:1-12",Normal,Normal,3
The Holy Innocents [4] White,28/12/2010,,,,TRUE,FALSE,"Tuesday after Christmas 1 (28 December)
The Holy Innocents [4] White

DAILY EUCHARIST
Jeremiah 31:15-17
Psalm 124
Revelation 21:1-7
Matthew 2:13-18

MORNING PRAYER: Incarnation/Festivals
Isaiah 49:13-23
Matthew 18:1-14

EVENING PRAYER: Incarnation/Festivals
Isaiah 54:1-13
Mark 10:13-16",Normal,Normal,3
"Stephen, Deacon and Martyr [4] Red (translated from 26 December)",29/12/2010,,,,TRUE,FALSE,"Wednesday after Christmas 1
Stephen, Deacon and Martyr [4] Red (translated from 26 December)

DAILY EUCHARIST
Jeremiah 26:1-9, 12-15
Psalm 31:1-7, 16
Acts 6:8 - 7:2a, 51c-60
Matthew 23:34-39

MORNING PRAYER: Incarnation/Festivals
2 Chronicles 24:17-22
Acts 6:1-7

EVENING PRAYER: Incarnation/Festivals
Wisdom 4:7-15
Acts 7:59 - 8:8",Normal,Normal,3
"Josephine Butler, 1905 [6] White",30/12/2010,,,,TRUE,FALSE,"Thursday after Christmas 1 (30 December)
Josephine Butler, 1905 [6] White

DAILY EUCHARIST
1 John 2:12-17
Psalm 96:7-10
Luke 2:36-40

DAILY PRAYER: Incarnation 
Isaiah 25:1-9
Revelation 1:9-20
John 7:53 - 8:11",Normal,Normal,3
"John Wycliffe, Priest, 1384 [6] White",31/12/2010,,,,TRUE,FALSE,"Friday after Christmas 1 (31 December: Hogmanay)
John Wycliffe, Priest, 1384 [6] White

DAILY EUCHARIST
1 John 2:18-21
Psalm 96:1-2, 11-13
John 1:1-18

MORNING PRAYER: Incarnation 
Isaiah 26:1-9
2 Corinthians 5:16 - 6:2
John 8:12-19

EVENING PRAYER: Incarnation
Isaiah 65:15b-25
Revelation 21:1-6",Normal,Normal,3
THE NAMING OF JESUS [2] White,01/01/2011,,,,TRUE,FALSE,"Saturday after Christmas 1 (1 January: New Year's Day)
THE NAMING OF JESUS [2] White

DAILY EUCHARIST
Numbers 6:22-27
Psalm 8
Galatians 4:4-7 or Philippians 2:5-11
Luke 2:15-21

DAILY PRAYER: Incarnation/Festivals 
Genesis 17:1-12a, 15-16
Colossians 2:6-12
John 16:23b-30",Normal,Normal,3
