Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
Monday after Third Sunday of Easter,19/04/2010,00:00:00,20/04/2010,00:00:00,TRUE,FALSE,18/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Maelrubha of Applecross, Abbot, 722 [6] White",20/04/2010,00:00:00,21/04/2010,00:00:00,TRUE,FALSE,19/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White",21/04/2010,00:00:00,22/04/2010,00:00:00,TRUE,FALSE,20/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Third Sunday of Easter,22/04/2010,00:00:00,23/04/2010,00:00:00,TRUE,FALSE,21/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"George, Patron of England, Martyr, c.303 [6] Red",23/04/2010,00:00:00,24/04/2010,00:00:00,TRUE,FALSE,22/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Third Sunday of Easter,24/04/2010,00:00:00,25/04/2010,00:00:00,TRUE,FALSE,23/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Fourth Sunday of Easter [1] White; SPB Third Sunday after Easter,25/04/2010,00:00:00,26/04/2010,00:00:00,TRUE,FALSE,24/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Mark, Evangelist [4] Red",26/04/2010,00:00:00,27/04/2010,00:00:00,TRUE,FALSE,25/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Albert Ernest Laurie, Priest, 1937 [6] White (translated from 26 April)",27/04/2010,00:00:00,28/04/2010,00:00:00,TRUE,FALSE,26/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Fourth Sunday of Easter,28/04/2010,00:00:00,29/04/2010,00:00:00,TRUE,FALSE,27/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White",29/04/2010,00:00:00,30/04/2010,00:00:00,TRUE,FALSE,28/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Fourth Sunday of Easter,30/04/2010,00:00:00,01/05/2010,00:00:00,TRUE,FALSE,29/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Philip and James, Apostles [4] Red",01/05/2010,00:00:00,02/05/2010,00:00:00,TRUE,FALSE,30/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Fifth Sunday of Easter [1] White; SPB Fourth Sunday after Easter,02/05/2010,00:00:00,03/05/2010,00:00:00,TRUE,FALSE,01/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Athenasius, Bishop and Teacher of the Faith, 373 [6] White (translated from 2 May)",03/05/2010,00:00:00,04/05/2010,00:00:00,TRUE,FALSE,02/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday after Fifth Sunday of Easter,04/05/2010,00:00:00,05/05/2010,00:00:00,TRUE,FALSE,03/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Fifth Sunday of Easter,05/05/2010,00:00:00,06/05/2010,00:00:00,TRUE,FALSE,04/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Fifth Sunday of Easter,06/05/2010,00:00:00,07/05/2010,00:00:00,TRUE,FALSE,05/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Fifth Sunday of Easter,07/05/2010,00:00:00,08/05/2010,00:00:00,TRUE,FALSE,06/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Julian of Norwich, c.1413 [6] White",08/05/2010,00:00:00,09/05/2010,00:00:00,TRUE,FALSE,07/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Sixth Sunday of Easter [1] White; SPB Fifth Sunday after Easter,09/05/2010,00:00:00,10/05/2010,00:00:00,TRUE,FALSE,08/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after Sixth Sunday of Easter,10/05/2010,00:00:00,11/05/2010,00:00:00,TRUE,FALSE,09/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday after Sixth Sunday of Easter,11/05/2010,00:00:00,12/05/2010,00:00:00,TRUE,FALSE,10/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Thomas Rattray, Bishop, 1743 [6] White",12/05/2010,00:00:00,13/05/2010,00:00:00,TRUE,FALSE,11/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
ASCENSION DAY [1] White,13/05/2010,00:00:00,14/05/2010,00:00:00,TRUE,FALSE,12/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Matthias, Apostle [4] Red",14/05/2010,00:00:00,15/05/2010,00:00:00,TRUE,FALSE,13/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Sixth Sunday of Easter,15/05/2010,00:00:00,16/05/2010,00:00:00,TRUE,FALSE,14/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Seventh Sunday of Easter [1] White; SPB Sunday after Ascension Day,16/05/2010,00:00:00,17/05/2010,00:00:00,TRUE,FALSE,15/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after Seventh Sunday of Easter,17/05/2010,00:00:00,18/05/2010,00:00:00,TRUE,FALSE,16/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday after Seventh Sunday of Easter,18/05/2010,00:00:00,19/05/2010,00:00:00,TRUE,FALSE,17/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Seventh Sunday of Easter,19/05/2010,00:00:00,20/05/2010,00:00:00,TRUE,FALSE,18/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Seventh Sunday of Easter,20/05/2010,00:00:00,21/05/2010,00:00:00,TRUE,FALSE,19/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Helena, c.330 [6] White",21/05/2010,00:00:00,22/05/2010,00:00:00,TRUE,FALSE,20/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Seventh Sunday of Easter,22/05/2010,00:00:00,23/05/2010,00:00:00,TRUE,FALSE,21/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
THE DAY OF PENTECOST (Whitsunday) [1] Red,23/05/2010,00:00:00,24/05/2010,00:00:00,TRUE,FALSE,22/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"William of Perth (or Rochester), 1201 [6] White (translated from 23 May)",24/05/2010,00:00:00,25/05/2010,00:00:00,TRUE,FALSE,23/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Bede the Venerable, of Jarrow, Teacher of the Faith, 735 [6] White",25/05/2010,00:00:00,26/05/2010,00:00:00,TRUE,FALSE,24/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Augustine of Canterbury, Bishop, c.604 [6] White",26/05/2010,00:00:00,27/05/2010,00:00:00,TRUE,FALSE,25/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after the Day of Pentecost (Whitsunday),27/05/2010,00:00:00,28/05/2010,00:00:00,TRUE,FALSE,26/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after the Day of Pentecost (Whitsunday),28/05/2010,00:00:00,29/05/2010,00:00:00,TRUE,FALSE,27/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after the Day of Pentecost (Whitsunday) / Eve of Trinity Sunday,29/05/2010,00:00:00,30/05/2010,00:00:00,TRUE,FALSE,28/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Trinity Sunday [2] White; Pentecost 1,30/05/2010,00:00:00,31/05/2010,00:00:00,TRUE,FALSE,29/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
The Visit of Mary to Elizabeth [5] White,31/05/2010,00:00:00,01/06/2010,00:00:00,TRUE,FALSE,30/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Justin of Rome, Martyr, c.165 [6] Red",01/06/2010,00:00:00,02/06/2010,00:00:00,TRUE,FALSE,31/05/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Trinity Sunday,02/06/2010,00:00:00,03/06/2010,00:00:00,TRUE,FALSE,01/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Corpus Christi (Thanksgiving for Holy Communion) [5] White,03/06/2010,00:00:00,04/06/2010,00:00:00,TRUE,FALSE,02/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"John XXIII, Bishop of Rome, Reformer, 1963 [6] White",04/06/2010,00:00:00,05/06/2010,00:00:00,TRUE,FALSE,03/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red",05/06/2010,00:00:00,06/06/2010,00:00:00,TRUE,FALSE,04/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 2 [3] Green; SPB Trinity 1,06/06/2010,00:00:00,07/06/2010,00:00:00,TRUE,FALSE,05/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red (translated from 3 June)",07/06/2010,00:00:00,08/06/2010,00:00:00,TRUE,FALSE,06/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Ephrem the Syrian, Deacon and Teacher of the Faith, 373 [6] White (Ordination of the Bishop of Argyll, 2004)",08/06/2010,00:00:00,09/06/2010,00:00:00,TRUE,FALSE,07/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Columba of Iona, Abbot, 597 [4] White",09/06/2010,00:00:00,10/06/2010,00:00:00,TRUE,FALSE,08/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Pentecost 2,10/06/2010,00:00:00,11/06/2010,00:00:00,TRUE,FALSE,09/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Barnabus, Apostle [4] Red",11/06/2010,00:00:00,12/06/2010,00:00:00,TRUE,FALSE,10/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White",12/06/2010,00:00:00,13/06/2010,00:00:00,TRUE,FALSE,11/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 3 [3] Green; SPB Trinity 2,13/06/2010,00:00:00,14/06/2010,00:00:00,TRUE,FALSE,12/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White",14/06/2010,00:00:00,15/06/2010,00:00:00,TRUE,FALSE,13/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday after Pentecost 3,15/06/2010,00:00:00,16/06/2010,00:00:00,TRUE,FALSE,14/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Pentecost 3,16/06/2010,00:00:00,17/06/2010,00:00:00,TRUE,FALSE,15/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Pentecost 3,17/06/2010,00:00:00,18/06/2010,00:00:00,TRUE,FALSE,16/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Bernard Mizeki, Martyr, 1896 [6] Red",18/06/2010,00:00:00,19/06/2010,00:00:00,TRUE,FALSE,17/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Pentecost 3,19/06/2010,00:00:00,20/06/2010,00:00:00,TRUE,FALSE,18/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 4 [3] Green; SPB Trinity 3,20/06/2010,00:00:00,21/06/2010,00:00:00,TRUE,FALSE,19/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Fillan, Abbot, c.750 [6] Red (translated from 20 June)",21/06/2010,00:00:00,22/06/2010,00:00:00,TRUE,FALSE,20/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Alban, Martyr [6] Red",22/06/2010,00:00:00,23/06/2010,00:00:00,TRUE,FALSE,21/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Wednesday after Pentecost 4 (Installation of the Bishop of Edinburgh, 2001)",23/06/2010,00:00:00,24/06/2010,00:00:00,TRUE,FALSE,22/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
The Birth of John the Baptist [4] White,24/06/2010,00:00:00,25/06/2010,00:00:00,TRUE,FALSE,23/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Moluag of Lismore, Bishop, c.592 [6] White",25/06/2010,00:00:00,26/06/2010,00:00:00,TRUE,FALSE,24/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Robert Leighton, Bishop, 1684 [6] White",26/06/2010,00:00:00,27/06/2010,00:00:00,TRUE,FALSE,25/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 5 [3] Green; SPB Trinity 4,27/06/2010,00:00:00,28/06/2010,00:00:00,TRUE,FALSE,26/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Irenaeus of Lyons, Bishop and Teacher of the Faith, 202 [6] White",28/06/2010,00:00:00,29/06/2010,00:00:00,TRUE,FALSE,27/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Peter, Apostle or Peter and Paul, Apostles [4] Red",29/06/2010,00:00:00,30/06/2010,00:00:00,TRUE,FALSE,28/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Alexander Jolly, Bishop, 1838 [6] White (translated from 27 June)",30/06/2010,00:00:00,01/07/2010,00:00:00,TRUE,FALSE,29/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Serf, Bishop, c.550 [6] White",01/07/2010,00:00:00,02/07/2010,00:00:00,TRUE,FALSE,30/06/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Pentecost 5,02/07/2010,00:00:00,03/07/2010,00:00:00,TRUE,FALSE,01/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Thomas, Apostle [4] Red (if not kept on 21 December)",03/07/2010,00:00:00,04/07/2010,00:00:00,TRUE,FALSE,02/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 6 [3] Green; SPB Trinity 5,04/07/2010,00:00:00,05/07/2010,00:00:00,TRUE,FALSE,03/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after Pentecost 6,05/07/2010,00:00:00,06/07/2010,00:00:00,TRUE,FALSE,04/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Palladius, Bishop, c.450 [6] White",06/07/2010,00:00:00,07/07/2010,00:00:00,TRUE,FALSE,05/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Pentecost 6,07/07/2010,00:00:00,08/07/2010,00:00:00,TRUE,FALSE,06/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Pentecost 6,08/07/2010,00:00:00,09/07/2010,00:00:00,TRUE,FALSE,07/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Pentecost 6,09/07/2010,00:00:00,10/07/2010,00:00:00,TRUE,FALSE,08/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Pentecost 6,10/07/2010,00:00:00,11/07/2010,00:00:00,TRUE,FALSE,09/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 7 [3] Green; SPB Trinity 6,11/07/2010,00:00:00,12/07/2010,00:00:00,TRUE,FALSE,10/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Drostan of Deer, Abbot, c.600 [6] White",12/07/2010,00:00:00,13/07/2010,00:00:00,TRUE,FALSE,11/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Benedict of Nursia, Abbot, c.550 [6] White (translated from 11 July)",13/07/2010,00:00:00,14/07/2010,00:00:00,TRUE,FALSE,12/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Pentecost 7,14/07/2010,00:00:00,15/07/2010,00:00:00,TRUE,FALSE,13/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Pentecost 7,15/07/2010,00:00:00,16/07/2010,00:00:00,TRUE,FALSE,14/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Pentecost 7,16/07/2010,00:00:00,17/07/2010,00:00:00,TRUE,FALSE,15/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Pentecost 7,17/07/2010,00:00:00,18/07/2010,00:00:00,TRUE,FALSE,16/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 8 [3] Green; SPB Trinity 7,18/07/2010,00:00:00,19/07/2010,00:00:00,TRUE,FALSE,17/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after Pentecost 8,19/07/2010,00:00:00,20/07/2010,00:00:00,TRUE,FALSE,18/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday after Pentecost 8,20/07/2010,00:00:00,21/07/2010,00:00:00,TRUE,FALSE,19/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"William Wilberforce, 1833 [6] White",21/07/2010,00:00:00,22/07/2010,00:00:00,TRUE,FALSE,20/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Mary Magdalene [4] White,22/07/2010,00:00:00,23/07/2010,00:00:00,TRUE,FALSE,21/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Pentecost 8,23/07/2010,00:00:00,24/07/2010,00:00:00,TRUE,FALSE,22/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Pentecost 8,24/07/2010,00:00:00,25/07/2010,00:00:00,TRUE,FALSE,23/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 9 [3] Green; SPB Trinity 8,25/07/2010,00:00:00,26/07/2010,00:00:00,TRUE,FALSE,24/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"James, Apostle [4] Red (translated from 25 July)",26/07/2010,00:00:00,27/07/2010,00:00:00,TRUE,FALSE,25/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White (translated from 26 July)",27/07/2010,00:00:00,28/07/2010,00:00:00,TRUE,FALSE,26/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Pentecost 9,28/07/2010,00:00:00,29/07/2010,00:00:00,TRUE,FALSE,27/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Martha and Mary of Bethany [6] White,29/07/2010,00:00:00,30/07/2010,00:00:00,TRUE,FALSE,28/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Silas, Companion of Saint Paul [6] White",30/07/2010,00:00:00,31/07/2010,00:00:00,TRUE,FALSE,29/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Ignatius Loyola, Priest and Religious, 1556 [6] White",31/07/2010,00:00:00,01/08/2010,00:00:00,TRUE,FALSE,30/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 10 [3] Green; SPB Trinity 9,01/08/2010,00:00:00,02/08/2010,00:00:00,TRUE,FALSE,31/07/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after Pentecost 10,02/08/2010,00:00:00,03/08/2010,00:00:00,TRUE,FALSE,01/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday after Pentecost 10,03/08/2010,00:00:00,04/08/2010,00:00:00,TRUE,FALSE,02/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Pentecost 10,04/08/2010,00:00:00,05/08/2010,00:00:00,TRUE,FALSE,03/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Oswald of Northumbria, Martyr, 642 [6] Red",05/08/2010,00:00:00,06/08/2010,00:00:00,TRUE,FALSE,04/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
THE TRANSFIGURATION OF THE LORD [2] White,06/08/2010,00:00:00,07/08/2010,00:00:00,TRUE,FALSE,05/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Boisil, Prior of Melrose, c.642 [6] White",07/08/2010,00:00:00,08/08/2010,00:00:00,TRUE,FALSE,06/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 11 [3] Green; SPB Trinity 10,08/08/2010,00:00:00,09/08/2010,00:00:00,TRUE,FALSE,07/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"John Mason Neale, Priest, 1886 [6] White",09/08/2010,00:00:00,10/08/2010,00:00:00,TRUE,FALSE,08/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Lawrence, Deacon and Martyr, 258 [6] Red",10/08/2010,00:00:00,11/08/2010,00:00:00,TRUE,FALSE,09/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Clare of Assisi, Religious, 1253 [6] White",11/08/2010,00:00:00,12/08/2010,00:00:00,TRUE,FALSE,10/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Blane, Missionary, c.590 [6] White",12/08/2010,00:00:00,13/08/2010,00:00:00,TRUE,FALSE,11/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Jeremy Taylor, Bishop, 1667 [6] White",13/08/2010,00:00:00,14/08/2010,00:00:00,TRUE,FALSE,12/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Maximilien Kolbe, Priest and Martyr, 1941 [6] Red",14/08/2010,00:00:00,15/08/2010,00:00:00,TRUE,FALSE,13/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 12 [3] Green; SPB Trinity 11,15/08/2010,00:00:00,16/08/2010,00:00:00,TRUE,FALSE,14/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Mary the Virgin [4] White (translated from 15 August),16/08/2010,00:00:00,17/08/2010,00:00:00,TRUE,FALSE,15/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday after Pentecost 12,17/08/2010,00:00:00,18/08/2010,00:00:00,TRUE,FALSE,16/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Pentecost 12,18/08/2010,00:00:00,19/08/2010,00:00:00,TRUE,FALSE,17/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Pentecost 12,19/08/2010,00:00:00,20/08/2010,00:00:00,TRUE,FALSE,18/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Bernard of Clairvaux, Aboot & Teacher of the Faith, 1153 [6] White",20/08/2010,00:00:00,21/08/2010,00:00:00,TRUE,FALSE,19/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Pentecost 12,21/08/2010,00:00:00,22/08/2010,00:00:00,TRUE,FALSE,20/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 13 [3] Green; SPB Trinity 12,22/08/2010,00:00:00,23/08/2010,00:00:00,TRUE,FALSE,21/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after Pentecost 13,23/08/2010,00:00:00,24/08/2010,00:00:00,TRUE,FALSE,22/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Bartholomew, Apostle [4] Red",24/08/2010,00:00:00,25/08/2010,00:00:00,TRUE,FALSE,23/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Ebba of Coldingham, Abbess, 683 [6] White",25/08/2010,00:00:00,26/08/2010,00:00:00,TRUE,FALSE,24/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Pentecost 13,26/08/2010,00:00:00,27/08/2010,00:00:00,TRUE,FALSE,25/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Monnica, Mother of Augustine of Hippo, 387 [6] White",27/08/2010,00:00:00,28/08/2010,00:00:00,TRUE,FALSE,26/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Augustine of Hippo, Bishop & Teacher of the Faith, 430 [6] White",28/08/2010,00:00:00,29/08/2010,00:00:00,TRUE,FALSE,27/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 14 [3] Green; SPB Trinity 13,29/08/2010,00:00:00,30/08/2010,00:00:00,TRUE,FALSE,28/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
The Beheading of John the Baptist [4] Red (translated from 29 August),30/08/2010,00:00:00,31/08/2010,00:00:00,TRUE,FALSE,29/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Aidan of Lindisfarne, Bishop, 651 [6] White",31/08/2010,00:00:00,01/09/2010,00:00:00,TRUE,FALSE,30/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Pentecost 14,01/09/2010,00:00:00,02/09/2010,00:00:00,TRUE,FALSE,31/08/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"The Martyrs of New Guinea, 1942 [6] Red",02/09/2010,00:00:00,03/09/2010,00:00:00,TRUE,FALSE,01/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Gregory the Great, Bishop and Teacher of the Faith [6] White",03/09/2010,00:00:00,04/09/2010,00:00:00,TRUE,FALSE,02/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Pentecost 14,04/09/2010,00:00:00,05/09/2010,00:00:00,TRUE,FALSE,03/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 15 [3] Green; SPB Trinity 14,05/09/2010,00:00:00,06/09/2010,00:00:00,TRUE,FALSE,04/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after Pentecost 15,06/09/2010,00:00:00,07/09/2010,00:00:00,TRUE,FALSE,05/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday after Pentecost 15,07/09/2010,00:00:00,08/09/2010,00:00:00,TRUE,FALSE,06/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"The Birth of Mary, Mother of the Lord [5] White",08/09/2010,00:00:00,09/09/2010,00:00:00,TRUE,FALSE,07/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Pentecost 15,09/09/2010,00:00:00,10/09/2010,00:00:00,TRUE,FALSE,08/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Pentecost 15,10/09/2010,00:00:00,11/09/2010,00:00:00,TRUE,FALSE,09/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Pentecost 15,11/09/2010,00:00:00,12/09/2010,00:00:00,TRUE,FALSE,10/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Pentecost 16 [3] Green; SPB Trinity 15,12/09/2010,00:00:00,13/09/2010,00:00:00,TRUE,FALSE,11/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Cyprian of Carthage, Bishop and Martyr, 258 [6] Red",13/09/2010,00:00:00,14/09/2010,00:00:00,TRUE,FALSE,12/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Holy Cross Day [5] White or Red,14/09/2010,00:00:00,15/09/2010,00:00:00,TRUE,FALSE,13/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Pentecost 16,15/09/2010,00:00:00,16/09/2010,00:00:00,TRUE,FALSE,14/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Ninian of Whithorn, Bishop, c.430 [4] White",16/09/2010,00:00:00,17/09/2010,00:00:00,TRUE,FALSE,15/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Hildegard of Bingen, Abbess, 1179 [6] White",17/09/2010,00:00:00,18/09/2010,00:00:00,TRUE,FALSE,16/09/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
