Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
"Seraphim of Sarov, 1833 [6] White",02/01/2010,00:00:00,03/01/2010,00:00:00,TRUE,FALSE,01/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Second Sunday after Christmas [3] White,03/01/2010,00:00:00,04/01/2010,00:00:00,TRUE,FALSE,02/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after Second Sunday after Christmas,04/01/2010,00:00:00,05/01/2010,00:00:00,TRUE,FALSE,03/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday after Second Sunday after Christmas,05/01/2010,00:00:00,06/01/2010,00:00:00,TRUE,FALSE,04/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
THE EPIPHANY [1] White,06/01/2010,00:00:00,07/01/2010,00:00:00,TRUE,FALSE,05/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Second Sunday after Christmas,07/01/2010,00:00:00,08/01/2010,00:00:00,TRUE,FALSE,06/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Second Sunday after Christmas,08/01/2010,00:00:00,09/01/2010,00:00:00,TRUE,FALSE,07/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Second Sunday after Christmas,09/01/2010,00:00:00,10/01/2010,00:00:00,TRUE,FALSE,08/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
First Sunday after Epiphany: The Baptism of the Lord [2] White,10/01/2010,00:00:00,11/01/2010,00:00:00,TRUE,FALSE,09/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"David, King of Scots, 1153 [6] Red",11/01/2010,00:00:00,12/01/2010,00:00:00,TRUE,FALSE,10/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"William Laud, Bishop, 1645 [6] Red (translated from 10 January)",12/01/2010,00:00:00,13/01/2010,00:00:00,TRUE,FALSE,11/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Kentigern (or Mungo), Bishop c.603 [4] White",13/01/2010,00:00:00,14/01/2010,00:00:00,TRUE,FALSE,12/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White",14/01/2010,00:00:00,15/01/2010,00:00:00,TRUE,FALSE,13/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after First Sunday after Epiphany,15/01/2010,00:00:00,16/01/2010,00:00:00,TRUE,FALSE,14/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after First Sunday after Epiphany,16/01/2010,00:00:00,17/01/2010,00:00:00,TRUE,FALSE,15/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Second Sunday after Epiphany [3] Green,17/01/2010,00:00:00,18/01/2010,00:00:00,TRUE,FALSE,16/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
The Confession of Peter [6] White,18/01/2010,00:00:00,19/01/2010,00:00:00,TRUE,FALSE,17/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Antony of Egypt, Abbot, 356 [6] White (translated from 17 January)",19/01/2010,00:00:00,20/01/2010,00:00:00,TRUE,FALSE,18/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Second Sunday after Epiphany,20/01/2010,00:00:00,21/01/2010,00:00:00,TRUE,FALSE,19/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Agnes, Martyr, c.304 [6] Red",21/01/2010,00:00:00,22/01/2010,00:00:00,TRUE,FALSE,20/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Second Sunday after Epiphany,22/01/2010,00:00:00,23/01/2010,00:00:00,TRUE,FALSE,21/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Second Sunday after Epiphany,23/01/2010,00:00:00,24/01/2010,00:00:00,TRUE,FALSE,22/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Third Sunday after Epiphany [3] Green,24/01/2010,00:00:00,25/01/2010,00:00:00,TRUE,FALSE,23/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"The Conversion of Paul, Apostle [4] White",25/01/2010,00:00:00,26/01/2010,00:00:00,TRUE,FALSE,24/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Timothy and Titus, Bishops [6] White",26/01/2010,00:00:00,27/01/2010,00:00:00,TRUE,FALSE,25/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White",27/01/2010,00:00:00,28/01/2010,00:00:00,TRUE,FALSE,26/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",28/01/2010,00:00:00,29/01/2010,00:00:00,TRUE,FALSE,27/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Francis de Sales, Bishop, 1622 [6] White (translated from 24 January)",29/01/2010,00:00:00,30/01/2010,00:00:00,TRUE,FALSE,28/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Charles I, King, 1649 [6] Red",30/01/2010,00:00:00,31/01/2010,00:00:00,TRUE,FALSE,29/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Fourth Sunday after Epiphany [3] Green (Third Sunday before Lent) (SPB Septuagesima - Violet),31/01/2010,00:00:00,01/02/2010,00:00:00,TRUE,FALSE,30/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Bride of Kildare, Abbess, c.525 [6] White",01/02/2010,00:00:00,02/02/2010,00:00:00,TRUE,FALSE,31/01/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
THE PRESENTATION OF THE LORD [2] White,02/02/2010,00:00:00,03/02/2010,00:00:00,TRUE,FALSE,01/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saints and Martyrs of Europe [6] Red,03/02/2010,00:00:00,04/02/2010,00:00:00,TRUE,FALSE,02/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red (translated from 31 January)",04/02/2010,00:00:00,05/02/2010,00:00:00,TRUE,FALSE,03/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Fourth Sunday after Epiphany,05/02/2010,00:00:00,06/02/2010,00:00:00,TRUE,FALSE,04/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Paul Miki, Priest, and the Martyrs of Japan, 1597 [6] Red",06/02/2010,00:00:00,07/02/2010,00:00:00,TRUE,FALSE,05/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Fifth Sunday after Epiphany [3] Green (Second Sunday before Lent) (SPB Sexagesima - Violet),07/02/2010,00:00:00,08/02/2010,00:00:00,TRUE,FALSE,06/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after Fifth Sunday after Epiphany,08/02/2010,00:00:00,09/02/2010,00:00:00,TRUE,FALSE,07/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday after Fifth Sunday after Epiphany,09/02/2010,00:00:00,10/02/2010,00:00:00,TRUE,FALSE,08/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Scholastica, Religious, 543 [6] White",10/02/2010,00:00:00,11/02/2010,00:00:00,TRUE,FALSE,09/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Fifth Sunday after Epiphany,11/02/2010,00:00:00,12/02/2010,00:00:00,TRUE,FALSE,10/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Fifth Sunday after Epiphany,12/02/2010,00:00:00,13/02/2010,00:00:00,TRUE,FALSE,11/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Fifth Sunday after Epiphany,13/02/2010,00:00:00,14/02/2010,00:00:00,TRUE,FALSE,12/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Sunday before Lent (Transfiguration) [3] Green (SPB Quinquagesima - Violet),14/02/2010,00:00:00,15/02/2010,00:00:00,TRUE,FALSE,13/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Thomas Bray, Priest and Missionary, 1730 [6] White",15/02/2010,00:00:00,16/02/2010,00:00:00,TRUE,FALSE,14/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Cyril, Monk, 869, and Methodius, Bishop, 885, 'Apostles of the Slavs' [6] White (translated from 14 February)",16/02/2010,00:00:00,17/02/2010,00:00:00,TRUE,FALSE,15/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Ash Wednesday [1] Violet or Lenten Array,17/02/2010,00:00:00,18/02/2010,00:00:00,TRUE,FALSE,16/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
